+-----+---------------------+----------+
| key |        date         |  value   |
| uu2 | 2017-04-08 12:00:00 |  1022279 |
| uu3 | 2017-04-08 12:00:00 |  3394118 |
| uu4 | 2017-04-08 12:00:00 |  2188461 |
| uu1 | 2017-04-08 11:00:00 |  2322178 |
| uu2 | 2017-04-08 11:00:00 |   953564 |
| uu3 | 2017-04-08 11:00:00 |  3226118 |
| uu4 | 2017-04-08 11:00:00 |  1776622 |
| uu1 | 2017-04-08 10:00:00 |  2208862 |
| uu2 | 2017-04-08 10:00:00 |   858395 |
| uu3 | 2017-04-08 10:00:00 |  3070450 |
| uu4 | 2017-04-08 10:00:00 |  1695550 |
| uu1 | 2017-04-08 09:00:00 |  1565929 |
| uu2 | 2017-04-08 09:00:00 |   523112 |
| uu3 | 2017-04-08 09:00:00 |  2405305 |
| uu4 | 2017-04-08 09:00:00 |  1434336 |
| uu1 | 2017-04-08 08:00:00 |  1048067 |
| uu2 | 2017-04-08 08:00:00 |   298303 |
| uu3 | 2017-04-08 08:00:00 |  1856279 |
| uu4 | 2017-04-08 08:00:00 |  1515522 |
| uu1 | 2017-04-08 07:00:00 |   725937 |
| uu2 | 2017-04-08 07:00:00 |   204611 |
| uu3 | 2017-04-08 07:00:00 |  1448772 |
| uu4 | 2017-04-08 07:00:00 |  1111559 |
| uu1 | 2017-04-08 06:00:00 |   432694 |
| uu2 | 2017-04-08 06:00:00 |   119808 |
| uu3 | 2017-04-08 06:00:00 |  1035084 |
| uu4 | 2017-04-08 06:00:00 |   947027 |
| uu1 | 2017-04-08 05:00:00 |   256296 |
| uu2 | 2017-04-08 05:00:00 |    59130 |
| uu3 | 2017-04-08 05:00:00 |   786274 |
| uu4 | 2017-04-08 05:00:00 |   859814 |
| uu1 | 2017-04-08 04:00:00 |   233900 |
| uu2 | 2017-04-08 04:00:00 |    52060 |
| uu3 | 2017-04-08 04:00:00 |   788492 |
| uu4 | 2017-04-08 04:00:00 |   838167 |
| uu1 | 2017-04-08 03:00:00 |   275084 |
| uu2 | 2017-04-08 03:00:00 |    67328 |
| uu3 | 2017-04-08 03:00:00 |   897655 |
| uu4 | 2017-04-08 03:00:00 |   848083 |
| uu1 | 2017-04-08 02:00:00 |   376298 |
| uu2 | 2017-04-08 02:00:00 |    76792 |
| uu3 | 2017-04-08 02:00:00 |  1091566 |
| uu4 | 2017-04-08 02:00:00 |   850895 |
| uu1 | 2017-04-08 01:00:00 |   522371 |
| uu2 | 2017-04-08 01:00:00 |   100948 |
| uu3 | 2017-04-08 01:00:00 |  1341208 |
| uu4 | 2017-04-08 01:00:00 |   917716 |
| uu1 | 2017-04-08 00:00:00 |   767728 |
| uu2 | 2017-04-08 00:00:00 |   167944 |
| uu3 | 2017-04-08 00:00:00 |  1814089 |
| uu4 | 2017-04-08 00:00:00 |  1120100 |
| uu1 | 2017-04-07 22:00:00 |  1819062 |
| uu2 | 2017-04-07 22:00:00 |   779466 |
| uu3 | 2017-04-07 22:00:00 |  3140613 |
| uu4 | 2017-04-07 22:00:00 |  1630590 |
| uu1 | 2017-04-07 21:00:00 |  2286351 |
| uu2 | 2017-04-07 21:00:00 |  1055229 |
| uu3 | 2017-04-07 21:00:00 |  3683130 |
| uu4 | 2017-04-07 21:00:00 |  1845833 |
| uu1 | 2017-04-07 20:00:00 |  2427197 |
| uu2 | 2017-04-07 20:00:00 |  1126094 |
| uu3 | 2017-04-07 20:00:00 |  4019619 |
| uu4 | 2017-04-07 20:00:00 |  1896028 |
| uu1 | 2017-04-07 19:00:00 |  2457788 |
| uu2 | 2017-04-07 19:00:00 |  1287647 |
| uu3 | 2017-04-07 19:00:00 |  3931626 |
| uu4 | 2017-04-07 19:00:00 |  1888121 |
| uu1 | 2017-04-07 18:00:00 |  2533180 |
| uu2 | 2017-04-07 18:00:00 |  1077722 |
| uu3 | 2017-04-07 18:00:00 |  3472110 |
| uu4 | 2017-04-07 18:00:00 |  1974541 |
| uu1 | 2017-04-07 17:00:00 |  2910316 |
| uu2 | 2017-04-07 17:00:00 |  1386346 |
| uu3 | 2017-04-07 17:00:00 |  4098999 |
| uu4 | 2017-04-07 17:00:00 |  2076393 |
| uu1 | 2017-04-07 16:00:00 |  2974313 |
| uu2 | 2017-04-07 16:00:00 |  1410584 |
| uu3 | 2017-04-07 16:00:00 |  4050040 |
| uu4 | 2017-04-07 16:00:00 |  2159869 |
| uu1 | 2017-04-07 15:00:00 |  2896832 |
| uu2 | 2017-04-07 15:00:00 |  1325653 |
| uu3 | 2017-04-07 15:00:00 |  4017185 |
| uu4 | 2017-04-07 15:00:00 |  2119067 |
| uu1 | 2017-04-07 14:00:00 |  2816799 |
| uu2 | 2017-04-07 14:00:00 |  1296024 |
| uu3 | 2017-04-07 14:00:00 |  4038050 |
| uu4 | 2017-04-07 14:00:00 |  2129353 |
| uu1 | 2017-04-07 13:00:00 |  2814505 |
| uu2 | 2017-04-07 13:00:00 |  1223441 |
| uu3 | 2017-04-07 13:00:00 |  4252786 |
| uu4 | 2017-04-07 13:00:00 |  2153519 |
| uu1 | 2017-04-07 12:00:00 |  2829253 |
| uu2 | 2017-04-07 12:00:00 |  1109498 |
| uu3 | 2017-04-07 12:00:00 |  5186275 |
| uu4 | 2017-04-07 12:00:00 |  2351309 |
| uu1 | 2017-04-07 11:00:00 |  2570581 |
| uu2 | 2017-04-07 11:00:00 |  1074271 |
| uu3 | 2017-04-07 11:00:00 |  3446517 |
| uu4 | 2017-04-07 11:00:00 |  1902128 |
| uu1 | 2017-04-07 10:00:00 |  2368876 |
| uu2 | 2017-04-07 10:00:00 |   940521 |
| uu3 | 2017-04-07 10:00:00 |  3173213 |
| uu4 | 2017-04-07 10:00:00 |  1789666 |
| uu1 | 2017-04-07 09:00:00 |  1738105 |
| uu2 | 2017-04-07 09:00:00 |   631000 |
| uu3 | 2017-04-07 09:00:00 |  2530381 |
| uu4 | 2017-04-07 09:00:00 |  1503801 |
| uu1 | 2017-04-07 08:00:00 |  1074858 |
| uu2 | 2017-04-07 08:00:00 |   351255 |
| uu3 | 2017-04-07 08:00:00 |  1843370 |
| uu4 | 2017-04-07 08:00:00 |  1512924 |
| uu1 | 2017-04-07 07:00:00 |   780773 |
| uu2 | 2017-04-07 07:00:00 |   233513 |
| uu3 | 2017-04-07 07:00:00 |  1458912 |
| uu4 | 2017-04-07 07:00:00 |  1173881 |
| uu1 | 2017-04-07 06:00:00 |   471633 |
| uu2 | 2017-04-07 06:00:00 |   137635 |
| uu3 | 2017-04-07 06:00:00 |  1060293 |
| uu4 | 2017-04-07 06:00:00 |   979919 |
| uu1 | 2017-04-07 05:00:00 |   254946 |
| uu2 | 2017-04-07 05:00:00 |    68736 |
| uu3 | 2017-04-07 05:00:00 |   743300 |
| uu4 | 2017-04-07 05:00:00 |   900568 |
| uu1 | 2017-04-07 04:00:00 |   233221 |
| uu2 | 2017-04-07 04:00:00 |    54634 |
| uu3 | 2017-04-07 04:00:00 |   725835 |
| uu4 | 2017-04-07 04:00:00 |   820176 |
| uu1 | 2017-04-07 03:00:00 |   280414 |
| uu2 | 2017-04-07 03:00:00 |    66755 |
| uu3 | 2017-04-07 03:00:00 |   829109 |
| uu4 | 2017-04-07 03:00:00 |   779816 |
| uu1 | 2017-04-07 02:00:00 |   351784 |
| uu2 | 2017-04-07 02:00:00 |    69596 |
| uu3 | 2017-04-07 02:00:00 |   976175 |
| uu4 | 2017-04-07 02:00:00 |   813245 |
| uu1 | 2017-04-07 01:00:00 |   470428 |
| uu2 | 2017-04-07 01:00:00 |   102608 |
| uu3 | 2017-04-07 01:00:00 |  1207205 |
| uu4 | 2017-04-07 01:00:00 |   900367 |
| uu1 | 2017-04-07 00:00:00 |   750980 |
| uu2 | 2017-04-07 00:00:00 |   165760 |
| uu3 | 2017-04-07 00:00:00 |  1656295 |
| uu4 | 2017-04-07 00:00:00 |  1110787 |
| uu1 | 2017-04-06 22:00:00 |  1836767 |
| uu2 | 2017-04-06 22:00:00 |   776472 |
